handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2
product_f917e830-8e43-a93d-1135-d5d8b2f296d4,Product,One In A Melon Outfit | Hot Pink Tutu and Bow Set,"<p>Did someone say adorbs?!&nbsp;<br>Our amazing 'One in a Melon' outfit is the perfect theme and cuteness for your baby's first birthday celebration!</p><p>&nbsp;</p><p>Set includes:<br>-Tutu<br>-Matching hair bow</p><p><strong>Tutu</strong> (Shades may vary):<br>Light pink tulle &amp; green tulle<br>approx. 8 inches in length. with black ""seeds"" on pink tulle<br>100% Nylon//100% Polyester</p><p><strong>Bow</strong> (Shades may vary):&nbsp;<br>Watermelon green sparkle background&nbsp;<br>Hot pink sparkle&nbsp;bow &amp; black sparkle ""seeds"" on top&nbsp;<br>Canvas leather<br>Black elastic or Alligator clip</p>",c2714b_6fc0215980b54f07b720aca8c4d8cf1d~mv2.jpeg;c2714b_d50d488e431e4f6e8abd625f1d0fe068~mv2.jpeg;c2714b_d20daf652f3f44eb83bd8da7812cb920~mv2.jpg;c2714b_7d181b7c29df4f21b7155fde30ceffe5~mv2.jpg;c2714b_81a8d67932d04a0d9627b6f8cb69b0a9~mv2_d_2480_3307_s_4_2.jpg;c2714b_d9334a0da7e24195a0639414605d714e~mv2.jpg;c2714b_bb935f53c36041d1a9323750e7486b7f~mv2.jpg,Baby;One in a Melon Collection;Outfits;Queen Bee Brittany;Spring;Summer;Toddler;Tutus,,,25.0,,true,PERCENT,0.0,InStock,0.0,T-Shirt Size,DROP_DOWN,Newborn;0-3 Mos.;3-6 Months;6-12 Months;12-18 Months,,,,,,,,,,,,,,,,Made To Order,"<p><span><span><span><span><span>This product is made to order.</span></span></span></span></span></p>

<p><span><span><span><span><span>Please allow 7 - 10 days for product to be made before it is shipped. </span></span></span></span></span></p>

<p><span><span><span><span><span>Once your order has shipped you will receive an email with tracking information. </span></span></span></span></span></p>
",Disclaimer,"<p><span><span><span><span><span><span>This product is made to order. We do not guarantee that your order will look exactly like the product picture. We strive to bring you the best products and customizations, but we cannot guarantee exact products as our models. </span></span></span></span></span></span></p>
",Care Instructions,"<p><span><span><span><span><span><span>Shirt/Onesie: Wash COLD inside out for best results.</span></span></span></span></span></span></p>

<p><span><span><span><span><span><span>Tutu: Spot clean with warm water and soap, do not put in washer or dryer. To get tulle to ""straighten"" out again use a steamer or humidity.&nbsp;</span></span></span></span></span></span></p>
",Tutu Size Chart,"<p><a href=""https://docs.google.com/spreadsheets/d/1TD5KUTJTOMGUAO9nozEe9muedqDmHe_WYwKexG3nBXo/edit?usp=sharing"" target=""_blank"">Click here to view our tutu size chart!&nbsp;</a></p>

<p><span style=""background-color: transparent;"">How to get tutu size: measure around from hip to hip under the tummy</span></p>
",,,,,Head Size (Inches) - For Elastic Bow,10,true,,,
product_f917e830-8e43-a93d-1135-d5d8b2f296d4,Variant,,,,,,,,1.0,true,,,InStock,,,,0-3 Mos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f917e830-8e43-a93d-1135-d5d8b2f296d4,Variant,,,,,,,,2.0,true,,,InStock,,,,3-6 Months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f917e830-8e43-a93d-1135-d5d8b2f296d4,Variant,,,,,,,,3.0,true,,,InStock,,,,6-12 Months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_f917e830-8e43-a93d-1135-d5d8b2f296d4,Variant,,,,,,,,4.0,true,,,InStock,,,,12-18 Months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_259cd297-b871-c94b-19ce-2443016466d8,Product,One In A Melon Outfit | Hot Pink,"<p>Did someone say adorbs?!&nbsp;<br>Our amazing 'One in a Melon' outfit is the perfect theme and cuteness for your baby's first birthday celebration!</p><p>&nbsp;</p><p>Set includes:<br>-Onesie&nbsp;<br>-Tutu<br>-Matching hair bow</p><p><strong>Onesie:</strong><br>""One in a melon"" with watermelon<br>100% Cotton<br>Personalized name</p><p><strong>Tutu (Shades may vary):</strong><br>Hot pink tulle &amp; green tulle<br>approx. 8 inches in length. with black ""seeds"" on Watermelon pink tulle<br>100% Nylon//100% Polyester</p><p>&nbsp;</p><p><strong>Bow (Shades may vary):&nbsp;</strong><br>Watermelon green sparkle background&nbsp;<br>Hot pink sparkle&nbsp;bow &amp; black sparkle ""seeds"" on top&nbsp;<br>Canvas leather<br>Black elastic or Alligator clip</p>",c2714b_c9d4eacc316947c9b7cf4ba2c5432e07~mv2.jpeg;c2714b_7d181b7c29df4f21b7155fde30ceffe5~mv2.jpg;c2714b_6fc0215980b54f07b720aca8c4d8cf1d~mv2.jpeg;c2714b_d20daf652f3f44eb83bd8da7812cb920~mv2.jpg;c2714b_d50d488e431e4f6e8abd625f1d0fe068~mv2.jpeg;c2714b_cecefef56fd54aba9243edbcfdeb6c8d~mv2.jpeg;c2714b_2eddf247a542471db8c12214975d746e~mv2.jpeg;c2714b_d9334a0da7e24195a0639414605d714e~mv2.jpg;c2714b_bb935f53c36041d1a9323750e7486b7f~mv2.jpg;c2714b_81a8d67932d04a0d9627b6f8cb69b0a9~mv2_d_2480_3307_s_4_2.jpg,Baby;One in a Melon Collection;Outfits;Queen Bee Brittany;Spring;Summer;Toddler;Tutus,,,38.0,,true,PERCENT,0.0,InStock,0.0,T-Shirt Size,DROP_DOWN,Newborn;0-3 Mos.;3-6 Months;6-9 Months;12 Months;18 Months,,,,,,,,,,,,,,,,Made To Order,"<p><span><span><span><span><span>This product is made to order.</span></span></span></span></span></p>

<p><span><span><span><span><span>Please allow 7 - 10 days for product to be made before it is shipped. </span></span></span></span></span></p>

<p><span><span><span><span><span>Once your order has shipped you will receive an email with tracking information. </span></span></span></span></span></p>
",Disclaimer,"<p><span><span><span><span><span><span>This product is made to order. We do not guarantee that your order will look exactly like the product picture. We strive to bring you the best products and customizations, but we cannot guarantee exact products as our models. </span></span></span></span></span></span></p>
",Care Instructions,"<p><span><span><span><span><span><span>Shirt/Onesie: Wash COLD inside out for best results.</span></span></span></span></span></span></p>

<p><span><span><span><span><span><span>Tutu: Spot clean with warm water and soap, do not put in washer or dryer. To get tulle to ""straighten"" out again use a steamer or humidity.&nbsp;</span></span></span></span></span></span></p>
",Tutu Size Chart,"<p><a href=""https://docs.google.com/spreadsheets/d/1TD5KUTJTOMGUAO9nozEe9muedqDmHe_WYwKexG3nBXo/edit?usp=sharing"" target=""_blank"">Click here to view our tutu size chart!&nbsp;</a></p>

<p><span style=""background-color: transparent;"">How to get tutu size: measure around from hip to hip under the tummy</span></p>
",,,,,Head Size (Inches) - For Elastic Bow,10,true,What name would you like under the melon? Put N/A for no name,500,true
product_259cd297-b871-c94b-19ce-2443016466d8,Variant,,,,,,,,1.0,true,,,InStock,,,,6-9 Months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_259cd297-b871-c94b-19ce-2443016466d8,Variant,,,,,,,,0.5,true,,,InStock,,,,3-6 Months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_259cd297-b871-c94b-19ce-2443016466d8,Variant,,,,,,,,2.0,true,,,InStock,,,,18 Months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_259cd297-b871-c94b-19ce-2443016466d8,Variant,,,,,,,,-0.5,true,,,InStock,,,,Newborn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
